"","complaint","coded_month","date_occur","count","crime","district","description","ileads_address","ileads_street","neighborhood","location_name","location_comment","cad_address","cad_street","x_coord","y_coord","crimeCatNum","crimeCatName","violent","property","dateOcc","timeOcc","weekday","dayNight","missing"
"1","19-037589","2019-08","08/01/2019 12:00","1",69602,"2","LARCENY-ALL OTHER $500 - $24,999","4317","HUNT AVE",39,NA,NA,"4317","HUNT","889670.3","1016004",6,"Larceny",FALSE,TRUE,2019-08-01,"07:00:00","Thu","Day","FALSE"
"2","19-037323","2019-08","08/01/2019 20:30","1",64711,"2","LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT","0","S NEWSTEAD AVE / SWAN AVE",39,NA,NA,"4400","MANCHESTER","888912.6","1016763",6,"Larceny",FALSE,TRUE,2019-08-01,"15:30:00","Thu","Day","FALSE"
"3","19-038051","2019-08","08/03/2019 14:00","1",66601,"2","LARCENY-BICYCLES $500 - $24,999","4253","NORFOLK AVE",39,NA,NA,"4253","NORFOLK","889968.1","1016716",6,"Larceny",FALSE,TRUE,2019-08-03,"09:00:00","Sat","Day","FALSE"
"4","19-037735","2019-08","08/04/2019 01:30","1",67701,"2","LARCENY-FROM BUILDING UNDER $500","4140","MANCHESTER AVE",39,"BAR- THE ATOMIC COWBOY",NA,NA,NA,"891133.3","1017378",6,"Larceny",FALSE,TRUE,2019-08-04,"20:30:00","Sun","Night","FALSE"
"5","19-038354","2019-08","08/07/2019 21:45","1",63701,"2","LARCENY-SHOPLIFT UNDER $500","4465","MANCHESTER AVE",39,"URBAN CHESTNUT BREWING COMPANY",NA,"4465","MANCHESTER","888440.3","1017117",6,"Larceny",FALSE,TRUE,2019-08-07,"16:45:00","Wed","Day","FALSE"
"6","19-038587","2019-08","08/08/2019 01:30","1",69703,"2","LARCENY-ALL OTH/FRM PRSN/UNDER $500","4454","VISTA AVE",39,NA,NA,"4454","VISTA","888495.6","1015936",6,"Larceny",FALSE,TRUE,2019-08-08,"20:30:00","Thu","Night","FALSE"
"7","19-038655","2019-08","08/09/2019 01:15","1",67701,"2","LARCENY-FROM BUILDING UNDER $500","4100","MANCHESTER AVE",39,"ATTITUDES NIGHTCLUB",NA,"4100","MANCHESTER","891534.1","1017455",6,"Larceny",FALSE,TRUE,2019-08-09,"20:15:00","Fri","Night","FALSE"
"8","19-038951","2019-08","08/10/2019 18:00","1",64701,"2","LARCENY-FROM MTR VEH UNDER $500","920","S TAYLOR AVE",39,NA,NA,"920","TAYLOR","888938.8","1018711",6,"Larceny",FALSE,TRUE,2019-08-10,"13:00:00","Sat","Day","FALSE"
"9","19-039915","2019-08","08/15/2019 22:00","1",69703,"2","LARCENY-ALL OTH/FRM PRSN/UNDER $500","1218","S BOYLE AVE",39,NA,NA,"1218","BOYLE","890631.5","1016836",6,"Larceny",FALSE,TRUE,2019-08-15,"17:00:00","Thu","Day","FALSE"
"10","19-040880","2019-08","08/20/2019 18:00","1",64701,"2","LARCENY-FROM MTR VEH UNDER $500","1111","S TAYLOR AVE",39,NA,NA,"1111","TAYLOR","888281.3","1017394",6,"Larceny",FALSE,TRUE,2019-08-20,"13:00:00","Tue","Day","FALSE"
"11","19-041935","2019-08","08/23/2019 16:00","1",69602,"2","LARCENY-ALL OTHER $500 - $24,999","4145","PAPIN ST",39,NA,NA,"4145","PAPIN","891286.7","1018391",6,"Larceny",FALSE,TRUE,2019-08-23,"11:00:00","Fri","Day","FALSE"
"12","19-042136","2019-08","08/26/2019 18:00","1",64711,"2","LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT","4230","MANCHESTER AVE",39,NA,NA,"4230","MANCHESTER","890098.1","1017209",6,"Larceny",FALSE,TRUE,2019-08-26,"13:00:00","Mon","Day","FALSE"
"13","19-042064","2019-08","08/27/2019 00:36","1",64601,"2","LARCENY-FROM MTR VEH $500 - $24,999","4054","CHOUTEAU AVE",39,"REHAB","PARKING LOT","4054","CHOUTEAU","891651.4","1017489",6,"Larceny",FALSE,TRUE,2019-08-27,"19:36:00","Tue","Night","FALSE"
"14","19-042347","2019-08","08/27/2019 18:00","1",64601,"2","LARCENY-FROM MTR VEH $500 - $24,999","4552","ARCO AVE",39,NA,NA,"4552","ARCO","887867.8","1017904",6,"Larceny",FALSE,TRUE,2019-08-27,"13:00:00","Tue","Day","FALSE"
"15","19-042525","2019-08","08/28/2019 00:15","1",64601,"2","LARCENY-FROM MTR VEH $500 - $24,999","1100","KENTUCKY AVE",39,NA,NA,"1100","KENTUCKY","890775","1017434",6,"Larceny",FALSE,TRUE,2019-08-28,"19:15:00","Wed","Night","FALSE"
"16","19-042770","2019-08","08/29/2019 07:00","1",65701,"2","LARCENY-MTR VEH PARTS UNDER $500","4465","MANCHESTER AVE",39,NA,NA,NA,NA,"888440.3","1017117",6,"Larceny",FALSE,TRUE,2019-08-29,"02:00:00","Thu","Day","FALSE"
"17","19-042780","2019-08","08/29/2019 21:00","1",64701,"2","LARCENY-FROM MTR VEH UNDER $500","4237","SWAN AVE",39,NA,NA,"4237","SWAN","890072.9","1017069",6,"Larceny",FALSE,TRUE,2019-08-29,"16:00:00","Thu","Day","FALSE"
